[32.64965543462902, 23.769728648009426, 37.48332962798263, 38.01315561749642, 18.248287590894655, 42.05948168962618, 54.56189146281496, 44.20407221060069, 8.485281374238571, 9.219544457292887, 21.2602916254693, 27.459060435491963, 53.037722424704484, 48.38388161361178, 24.596747752497688, 15.231546211727817, 31.256999216175565, 41.43669871020132, 47.12748667179271, 31.016124838541643, 15.524174696260024, 34.0, 51.61395160225576, 55.90169943749474, 52.17278984298233, 51.40038910358559, 35.0, 42.720018726587654, 21.0, 0.0, 46.95742752749558, 27.58622844826744, 20.808652046684813, 6.708203932499369, 36.22154055254967, 42.29657196511321, 26.476404589747453, 15.264337522473749, 12.041594578792294, 57.0087712549569, 49.03060268852505, 40.71854614300466, 64.63745044476924, 30.463092423455635, 25.495097567963924, 28.635642126552703, 33.37663853655727, 43.278170016764804, 10.04987562112089, 10.19803902718557, 30.870698080866262]
[17.0, 23.3238075793812, 15.811388300841898, 46.238512086787566, 39.11521443121589, 27.202941017470888, 20.8806130178211, 9.219544457292887, 39.0, 50.0, 28.442925306655788, 37.48332962798263, 54.405882034941776, 36.796738985948195, 53.009433122794285, 31.76476034853718, 47.07440918375928, 41.182520563948, 60.92618484691127, 22.825424421026653, 36.796738985948195, 13.0, 24.186773244895647, 33.61547262794322, 43.139309220245984, 10.04987562112089, 22.135943621178658, 6.324555320336759, 29.698484809834998, 46.95742752749558, 0.0, 23.021728866442675, 59.68249324550709, 43.266615305567875, 25.709920264364882, 26.0, 47.265209192385896, 34.92849839314596, 58.309518948453004, 70.66116330771806, 58.59180830116101, 61.13100686231171, 32.38826948140329, 54.45181356024793, 59.03388857258177, 30.413812651491096, 38.89730067755345, 18.439088914585774, 42.44997055358225, 37.21558813185679, 29.832867780352593]
[6.0827625302982185, 11.40175425099138, 22.80350850198276, 26.907248094147423, 16.1245154965971, 17.029386365926403, 27.018512172212596, 17.46424919657298, 19.1049731745428, 28.178005607210743, 6.4031242374328485, 15.652475842498529, 39.11521443121589, 26.305892875931807, 30.06659275674582, 14.866068747318506, 25.495097567963924, 24.698178070456937, 41.400483088968905, 22.47220505424423, 24.331050121192874, 11.704699910719626, 24.596747752497688, 30.59411708155671, 32.01562118716424, 24.596747752497688, 8.246211251235321, 21.587033144922902, 20.09975124224178, 27.58622844826744, 23.021728866442675, 0.0, 36.878177829171555, 26.419689627245813, 29.410882339705484, 33.97057550292606, 24.73863375370596, 13.038404810405298, 37.443290453698104, 51.85556864985669, 40.31128874149275, 39.81205847478876, 37.589892258425, 32.01562118716424, 36.013886210738214, 9.219544457292887, 19.1049731745428, 15.811388300841896, 20.591260281974, 20.12461179749811, 10.0]
[42.95346318982905, 39.11521443121589, 54.3323108288245, 30.528675044947498, 20.8806130178211, 44.65422712353221, 60.415229867972855, 54.12023651093923, 23.769728648009423, 12.08304597359457, 31.256999216175565, 26.627053911388693, 43.65775990588614, 46.690470119715, 11.6619037896906, 31.57530680769389, 23.021728866442675, 37.013511046643494, 33.13608305156178, 49.244289008980516, 35.77708763999664, 47.16990566028302, 55.7584074378026, 56.63920903402518, 48.010415536631214, 61.032778078668514, 41.2310562561766, 57.07889277132134, 39.84971769034255, 20.808652046684813, 59.68249324550709, 36.878177829171555, 0.0, 27.459060435491963, 55.36244214266564, 61.400325732035, 18.439088914585774, 25.01999200639361, 13.92838827718412, 41.19465984809196, 36.6742416417845, 25.0, 67.80117993073571, 16.76305461424021, 7.0, 32.202484376209235, 30.4138126514911, 49.65883607174055, 18.110770276274835, 28.792360097775934, 34.0]
[30.610455730027933, 20.0, 32.28002478313795, 41.59326868617084, 21.213203435596427, 42.37924020083418, 53.254107822777385, 41.725292090050125, 9.0, 15.620499351813312, 20.6155281280883, 30.01666203960727, 56.568542494923804, 49.81967482832461, 30.23243291566195, 12.041594578792296, 35.440090293338706, 44.0, 52.0, 25.317977802344327, 9.055385138137417, 30.610455730027933, 51.0, 56.302753041036986, 54.230987451824994, 48.79549159502341, 34.43835071544513, 38.47076812334269, 15.297058540778355, 6.708203932499369, 43.266615305567875, 26.419689627245813, 27.459060435491963, 0.0, 30.01666203960727, 36.05551275463989, 31.016124838541646, 16.1245154965971, 18.110770276274835, 62.16912416947821, 53.450912059571074, 46.1410879802373, 64.00781202322105, 35.84689665786985, 31.827660925679098, 29.61418578992169, 36.013886210738214, 42.190046219457976, 13.92838827718412, 6.4031242374328485, 31.780497164141405]
[27.313000567495326, 19.1049731745428, 10.04987562112089, 55.97320787662612, 39.66106403010388, 44.011362169330766, 45.0, 31.016124838541643, 31.622776601683796, 43.41658669218482, 29.73213749463701, 43.84062043356595, 68.5054742338158, 54.230987451824994, 53.71219600798314, 24.16609194718914, 53.15072906367325, 54.08326913195984, 70.00714249274856, 7.0710678118654755, 21.0, 20.8806130178211, 46.389654018972806, 55.10898293381941, 60.415229867972855, 35.35533905932738, 35.34119409414458, 19.4164878389476, 15.524174696260024, 36.22154055254967, 25.709920264364882, 29.410882339705484, 55.36244214266564, 30.01666203960727, 0.0, 6.0827625302982185, 50.80354318352216, 32.7566787083184, 48.093658625644196, 80.61017305526643, 69.42621983083913, 67.00746227100382, 57.008771254956905, 57.68882040742383, 57.77542730261717, 38.41874542459709, 48.270073544588676, 37.85498646149539, 37.696153649941536, 26.68332812825267, 39.408120990476064]
[31.064449134018133, 24.413111231467404, 12.08304597359457, 60.81118318204309, 45.27692569068708, 47.41307836451879, 46.389654018972806, 32.7566787083184, 37.64306044943742, 49.47726750741192, 35.0, 48.91829923454004, 72.80109889280517, 57.706152185014034, 59.481089431852205, 30.083217912982644, 58.41232746604094, 58.41232746604094, 75.07329751649384, 12.529964086141668, 27.018512172212592, 24.186773244895647, 48.50773134253962, 57.56735185849702, 64.00781202322105, 36.013886210738214, 39.11521443121589, 20.09975124224178, 21.587033144922902, 42.29657196511321, 26.0, 33.97057550292606, 61.400325732035, 36.05551275463989, 6.0827625302982185, 0.0, 56.302753041036986, 38.47076812334269, 54.147945482723536, 85.63293758829018, 74.24957912338628, 72.42237223399962, 58.21511831131153, 63.28506932918696, 63.694583757176716, 43.139309220245984, 53.03772242470447, 40.496913462633174, 43.65775990588614, 32.7566787083184, 43.9317652729776]
[30.413812651491096, 31.906112267087636, 46.518813398452025, 12.649110640673518, 11.313708498984761, 27.313000567495326, 43.65775990588614, 40.01249804748512, 22.825424421026653, 19.026297590440446, 21.470910553583888, 10.04987562112089, 27.16615541441225, 28.284271247461902, 7.211102550927979, 27.58622844826744, 5.099019513592785, 18.60107523773827, 21.02379604162864, 43.82921400162225, 36.05551275463989, 36.40054944640259, 38.48376280978771, 38.41874542459709, 29.68164415931166, 46.270941205037104, 26.076809620810597, 46.32493928760188, 36.76955262170048, 26.476404589747453, 47.265209192385896, 24.73863375370596, 18.439088914585774, 31.016124838541646, 50.80354318352216, 56.302753041036986, 0.0, 18.38477631085024, 27.892651361962706, 31.38470965295043, 22.561028345356952, 16.278820596099706, 49.92995093127972, 7.280109889280519, 13.892443989449806, 17.0, 12.206555615733702, 33.734255586866006, 17.08800749063506, 28.30194339616981, 18.110770276274835]
[18.788294228055936, 14.560219778561038, 29.832867780352593, 26.570660511172843, 7.0710678118654755, 26.832815729997478, 39.59797974644666, 30.413812651491096, 7.280109889280519, 15.231546211727817, 6.708203932499369, 14.317821063276352, 41.23105625617661, 33.734255586866006, 21.02379604162864, 9.219544457292887, 21.633307652783937, 28.0713376952364, 38.8329756778952, 25.942243542145697, 18.38477631085024, 22.20360331117452, 36.400549446402586, 40.71854614300466, 38.118237105091836, 37.589892258425, 19.849433241279208, 32.0624390837628, 18.38477631085024, 15.264337522473749, 34.92849839314596, 13.038404810405298, 25.01999200639361, 16.1245154965971, 32.7566787083184, 38.47076812334269, 18.38477631085024, 0.0, 24.413111231467404, 49.4064773081425, 39.35733730830886, 34.655446902326915, 49.4064773081425, 25.0, 25.709920264364882, 13.601470508735444, 20.223748416156685, 28.284271247461902, 7.615773105863909, 11.180339887498947, 15.811388300841898]
[43.046486500061775, 35.440090293338706, 49.49747468305833, 40.521599178709614, 24.207436873820413, 49.678969393496885, 63.7808748764079, 54.70831746635972, 19.313207915827967, 10.0, 31.064449134018133, 32.7566787083184, 54.91812087098393, 54.203320931470614, 23.021728866442675, 26.92582403567252, 32.984845004941285, 45.69463863518345, 46.04345773288535, 43.046486500061775, 27.16615541441225, 45.31004303683677, 60.108235708594876, 63.00793600809345, 56.85947590331799, 61.91122676865643, 43.9317652729776, 54.405882034941776, 33.015148038438355, 12.041594578792294, 58.309518948453004, 37.443290453698104, 13.92838827718412, 18.110770276274835, 48.093658625644196, 54.147945482723536, 27.892651361962706, 24.413111231467404, 0.0, 54.74486277268397, 49.040799340956916, 38.3275357934736, 72.91776189653658, 29.0, 20.615528128088304, 36.124783736376884, 38.01315561749642, 52.497618993626745, 17.029386365926403, 22.20360331117452, 38.28837943815329]
[56.0357029044876, 61.522353661088104, 74.65252842335616, 25.0, 42.43819034784589, 44.011362169330766, 58.249463516842795, 61.741396161732524, 54.203320931470614, 48.38388161361178, 50.93132631298737, 36.76955262170048, 19.0, 36.6742416417845, 32.57299494980467, 58.60034129593445, 27.80287754891569, 29.546573405388315, 10.63014581273465, 73.53910524340095, 67.4166151627327, 63.00793600809345, 52.17278984298233, 46.09772228646444, 32.0624390837628, 65.78753681359412, 48.877397639399746, 71.86793443532379, 67.62396025078685, 57.0087712549569, 70.66116330771806, 51.85556864985669, 41.19465984809196, 62.16912416947821, 80.61017305526643, 85.63293758829018, 31.38470965295043, 49.4064773081425, 54.74486277268397, 0.0, 12.08304597359457, 16.492422502470642, 58.0, 26.570660511172843, 34.23448553724738, 42.63801121065569, 32.80243893371345, 52.92447448959697, 48.30113870293329, 59.682493245507096, 42.20189569201838]
[44.20407221060069, 50.44799302251775, 63.03173803727769, 13.453624047073712, 32.69556544854363, 31.953090617340916, 46.52956049652737, 49.65883607174055, 44.944410108488455, 41.19465984809196, 40.0, 25.80697580112788, 9.433981132056603, 25.079872407968907, 26.019223662515373, 48.373546489791295, 18.02775637731995, 17.46424919657298, 5.0, 62.36986451805071, 57.697486947006624, 51.22499389946279, 40.44749683231337, 35.05709628591621, 21.213203435596427, 53.75872022286245, 36.89173349139343, 59.90826320300064, 57.140178508646606, 49.03060268852505, 58.59180830116101, 40.31128874149275, 36.6742416417845, 53.450912059571074, 69.42621983083913, 74.24957912338628, 22.561028345356952, 39.35733730830886, 49.040799340956916, 12.08304597359457, 0.0, 13.038404810405298, 47.265209192385896, 20.09975124224178, 29.832867780352593, 31.112698372208094, 21.213203435596427, 40.85339643163099, 39.56008088970497, 50.159744815937806, 30.479501308256342]
[44.944410108488455, 48.010415536631214, 62.26556030423239, 16.0312195418814, 27.58622844826744, 37.0, 53.15072906367325, 52.952809179494906, 38.600518131237564, 31.953090617340916, 37.443290453698104, 24.16609194718914, 21.93171219946131, 33.24154027718932, 16.155494421403514, 43.84062043356595, 14.317821063276352, 23.345235059857504, 8.54400374531753, 60.0, 52.009614495783374, 51.478150704935, 47.265209192385896, 43.965895873961216, 31.304951684997057, 58.309518948453, 39.05124837953328, 61.09828148156051, 53.03772242470447, 40.71854614300466, 61.13100686231171, 39.81205847478876, 25.0, 46.1410879802373, 67.00746227100382, 72.42237223399962, 16.278820596099706, 34.655446902326915, 38.3275357934736, 16.492422502470642, 13.038404810405298, 0.0, 56.32051136131489, 10.295630140987, 18.0, 31.016124838541646, 22.360679774997894, 45.177427992306065, 32.449961479175904, 44.20407221060069, 31.32091952673165]
[34.17601498127012, 46.486557196677836, 47.0, 40.85339643163099, 48.79549159502341, 23.3452350598575, 12.041594578792294, 26.076809620810597, 56.302753041036986, 62.96824596572467, 43.56604182158394, 41.23105625617661, 39.0, 23.08679276123039, 57.140178508646606, 52.32590180780451, 46.529560496527374, 33.24154027718932, 51.62363799656123, 52.3450093132096, 61.09828148156051, 37.65634076752546, 13.038404810405298, 12.36931687685298, 26.076809620810597, 22.360679774997894, 29.68164415931166, 38.118237105091836, 55.36244214266564, 64.63745044476924, 32.38826948140329, 37.589892258425, 67.80117993073571, 64.00781202322105, 57.008771254956905, 58.21511831131153, 49.92995093127972, 49.4064773081425, 72.91776189653658, 58.0, 47.265209192385896, 56.32051136131489, 0.0, 55.00909015790026, 63.81222453417527, 36.796738985948195, 37.73592452822641, 21.93171219946131, 56.080299571239806, 57.706152185014034, 34.655446902326915]
[37.65634076752546, 38.94868418830089, 53.712196007983145, 14.866068747318504, 18.027756377319946, 33.24154027718932, 49.72926703662542, 47.01063709417264, 28.425340807103794, 21.840329667841555, 28.635642126552703, 17.029386365926403, 26.925824035672523, 32.449961479175904, 6.0827625302982185, 34.058772731852805, 8.54400374531753, 22.203603311174515, 17.11724276862369, 50.774009099144415, 41.86884283091664, 43.68065933568311, 44.271887242357316, 43.046486500061775, 32.526911934581186, 53.084837759947995, 33.0, 53.600373133029585, 43.278170016764804, 30.463092423455635, 54.45181356024793, 32.01562118716424, 16.76305461424021, 35.84689665786985, 57.68882040742383, 63.28506932918696, 7.280109889280519, 25.0, 29.0, 26.570660511172843, 20.09975124224178, 10.295630140987, 55.00909015790026, 0.0, 10.295630140987, 24.083189157584588, 17.720045146669353, 40.311288741492746, 22.203603311174515, 34.058772731852805, 25.0]
[42.04759208325727, 40.2616442783948, 55.54277630799527, 24.839484696748443, 20.024984394500787, 41.14608122288197, 57.384666941614284, 52.611785751863614, 26.419689627245813, 16.278820596099706, 31.144823004794876, 23.40939982143925, 37.16180835212409, 41.86884283091664, 6.708203932499369, 33.61547262794323, 17.69180601295413, 31.827660925679098, 26.1725046566048, 51.26402247190518, 39.408120990476064, 47.095647357266465, 52.32590180780451, 52.20153254455275, 42.5205832509386, 59.22837157984338, 39.05124837953328, 57.14017850864661, 42.48529157249601, 25.495097567963924, 59.03388857258177, 36.013886210738214, 7.0, 31.827660925679098, 57.77542730261717, 63.694583757176716, 13.892443989449806, 25.709920264364882, 20.615528128088304, 34.23448553724738, 29.832867780352593, 18.0, 63.81222453417527, 10.295630140987, 0.0, 29.832867780352593, 26.076809620810597, 47.12748667179271, 20.12461179749811, 31.906112267087636, 31.32091952673165]
[13.92838827718412, 19.723082923316017, 32.01562118716424, 17.69180601295413, 12.041594578792296, 13.601470508735444, 28.30194339616981, 23.021728866442675, 20.8806130178211, 26.1725046566048, 10.19803902718557, 7.0710678118654755, 30.413812651491096, 20.223748416156685, 23.345235059857504, 20.09975124224178, 16.76305461424021, 16.155494421403514, 32.202484376209235, 31.400636936215164, 30.14962686336267, 20.591260281974, 24.08318915758459, 27.29468812791236, 25.01999200639361, 29.427877939124325, 9.219544457292889, 30.083217912982644, 27.51363298439521, 28.635642126552703, 30.413812651491096, 9.219544457292887, 32.202484376209235, 29.61418578992169, 38.41874542459709, 43.139309220245984, 17.0, 13.601470508735444, 36.124783736376884, 42.63801121065569, 31.112698372208094, 31.016124838541646, 36.796738985948195, 24.083189157584588, 29.832867780352593, 0.0, 9.899494936611665, 17.46424919657298, 19.4164878389476, 24.083189157584588, 2.23606797749979]
[23.3238075793812, 29.410882339705484, 41.86884283091664, 7.810249675906656, 15.132745950421555, 15.524174696260024, 32.01562118716424, 30.59411708155671, 27.018512172212592, 28.23118842698621, 19.235384061671343, 6.0, 21.18962010041709, 16.401219466856723, 19.4164878389476, 28.460498941515414, 9.219544457292889, 8.06225774829855, 22.47220505424423, 41.23105625617661, 38.3275357934736, 30.23243291566195, 26.570660511172843, 26.248809496813372, 18.973665961010276, 36.05551275463989, 16.76305461424021, 39.35733730830886, 36.6742416417845, 33.37663853655727, 38.89730067755345, 19.1049731745428, 30.4138126514911, 36.013886210738214, 48.270073544588676, 53.03772242470447, 12.206555615733702, 20.223748416156685, 38.01315561749642, 32.80243893371345, 21.213203435596427, 22.360679774997894, 37.73592452822641, 17.720045146669353, 26.076809620810597, 9.899494936611665, 0.0, 23.0, 23.345235059857504, 31.40063693621516, 9.433981132056603]
[12.36931687685298, 24.73863375370596, 28.460498941515414, 29.427877939124325, 29.1547594742265, 8.94427190999916, 11.313708498984761, 9.219544457292887, 34.828149534536, 42.80186911806539, 22.022715545545243, 23.769728648009423, 36.05551275463989, 18.38477631085024, 40.521599178709614, 30.413812651491096, 32.0624390837628, 23.40939982143925, 43.68065933568311, 32.14031735997639, 39.21734310225516, 17.11724276862369, 9.219544457292889, 17.26267650163207, 24.758836806279895, 13.152946437965904, 8.602325267042627, 21.633307652783937, 33.734255586866006, 43.278170016764804, 18.439088914585774, 15.811388300841896, 49.65883607174055, 42.190046219457976, 37.85498646149539, 40.496913462633174, 33.734255586866006, 28.284271247461902, 52.497618993626745, 52.92447448959697, 40.85339643163099, 45.177427992306065, 21.93171219946131, 40.311288741492746, 47.12748667179271, 17.46424919657298, 23.0, 0.0, 35.4682957019364, 35.84689665786985, 15.811388300841898]
[26.400757564888174, 21.023796041628636, 36.22154055254967, 28.0713376952364, 8.246211251235321, 33.015148038438355, 46.75467891024384, 38.01315561749642, 6.4031242374328485, 7.615773105863909, 14.317821063276352, 17.46424919657298, 43.10452412450461, 38.62641583165593, 16.970562748477143, 13.601470508735444, 21.587033144922902, 31.40063693621516, 38.07886552931954, 31.32091952673165, 19.79898987322333, 29.61418578992169, 43.18564576337837, 46.6476151587624, 42.20189569201839, 45.17742799230607, 26.907248094147423, 39.319206502674994, 22.360679774997898, 10.04987562112089, 42.44997055358225, 20.591260281974, 18.110770276274835, 13.92838827718412, 37.696153649941536, 43.65775990588614, 17.08800749063506, 7.615773105863909, 17.029386365926403, 48.30113870293329, 39.56008088970497, 32.449961479175904, 56.080299571239806, 22.203603311174515, 20.12461179749811, 19.4164878389476, 23.345235059857504, 35.4682957019364, 0.0, 12.041594578792296, 21.633307652783937]
[24.207436873820413, 13.892443989449806, 27.294688127912362, 37.64306044943742, 17.46424919657298, 36.40054944640259, 46.87216658103186, 35.35533905932738, 5.656854249492381, 16.76305461424021, 14.560219778561038, 25.495097567963924, 52.39274758971894, 44.28317965096906, 29.0, 5.656854249492381, 32.202484376209235, 39.20459156782532, 49.24428900898052, 21.023796041628636, 7.810249675906656, 24.413111231467404, 44.721359549995796, 50.28916384272063, 49.01020301937138, 42.44997055358225, 28.23118842698621, 32.69556544854363, 11.180339887498947, 10.19803902718557, 37.21558813185679, 20.12461179749811, 28.792360097775934, 6.4031242374328485, 26.68332812825267, 32.7566787083184, 28.30194339616981, 11.180339887498947, 22.20360331117452, 59.682493245507096, 50.159744815937806, 44.20407221060069, 57.706152185014034, 34.058772731852805, 31.906112267087636, 24.083189157584588, 31.40063693621516, 35.84689665786985, 12.041594578792296, 0.0, 26.1725046566048]
[13.892443989449806, 21.02379604162864, 32.55764119219941, 17.204650534085253, 14.142135623730951, 11.40175425099138, 26.419689627245813, 22.02271554554524, 23.08679276123039, 28.31960451701259, 12.041594578792294, 8.06225774829855, 29.1547594742265, 18.110770276274835, 24.73863375370596, 22.02271554554524, 17.26267650163207, 14.7648230602334, 31.906112267087636, 32.449961479175904, 32.0624390837628, 20.808652046684813, 22.022715545545243, 25.059928172283335, 23.086792761230395, 28.160255680657446, 8.0, 29.966648127543394, 29.120439557122076, 30.870698080866262, 29.832867780352593, 10.0, 34.0, 31.780497164141405, 39.408120990476064, 43.9317652729776, 18.110770276274835, 15.811388300841898, 38.28837943815329, 42.20189569201838, 30.479501308256342, 31.32091952673165, 34.655446902326915, 25.0, 31.32091952673165, 2.23606797749979, 9.433981132056603, 15.811388300841898, 21.633307652783937, 26.1725046566048, 0.0]
